"","name","year","F","M","greatermale"
"614","Aber",1986,5,0,FALSE
"615","Aberdeen",2016,131,0,FALSE
"616","Aberham",2010,0,25,TRUE
"617","Abernathy",2015,33,0,FALSE
"618","Abert",1924,0,15,TRUE
"619","Abery",2006,7,0,FALSE
"620","Abey",2005,0,10,TRUE
"621","Abey",2006,17,0,FALSE
"622","Abgail",2013,29,0,FALSE
"623","Abha",2016,50,0,FALSE
"624","Abhay",2016,0,629,TRUE
"625","Abheek",2011,0,7,TRUE
"626","Abhi",2016,0,232,TRUE
"627","Abhigna",2016,41,0,FALSE
"628","Abhijay",2015,0,95,TRUE
"629","Abhijeet",2008,0,45,TRUE
"630","Abhijit",2014,0,42,TRUE
"631","Abhijot",2016,0,44,TRUE
"632","Abhik",2015,0,21,TRUE
"633","Abhilash",2008,0,22,TRUE
"634","Abhimanyu",2016,0,175,TRUE
"635","Abhinav",2016,0,1687,TRUE
"636","Abhinay",2003,0,5,TRUE
"637","Abhinaya",2014,5,0,FALSE
"638","Abhiraam",2015,0,6,TRUE
"639","Abhiraj",2016,0,67,TRUE
"640","Abhiram",2016,0,804,TRUE
"641","Abhirami",2016,5,0,FALSE
"642","Abhirup",2008,0,10,TRUE
"643","Abhishek",2013,0,753,TRUE
"644","Abhyuday",2016,0,10,TRUE
"645","Abi",2012,0,22,TRUE
"646","Abi",2016,488,0,FALSE
"647","Abia",2016,92,0,FALSE
"648","Abiageal",2016,138,0,FALSE
"649","Abiah",2016,36,0,FALSE
"650","Abian",2013,0,12,TRUE
"651","Abianna",2006,5,0,FALSE
"652","Abibail",1987,6,0,FALSE
"653","Abid",2016,0,321,TRUE
"654","Abida",2016,37,0,FALSE
"655","Abidah",2015,5,0,FALSE
"656","Abidan",2015,0,16,TRUE
"657","Abie",2010,67,0,FALSE
"658","Abie",2016,0,645,TRUE
"659","Abiegail",2012,15,0,FALSE
"660","Abiel",2013,23,0,FALSE
